price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
15000,2013,ford,excellent,6 cylinders,gas,128000,clean,automatic,rwd,truck,black
27990,2012,gmc,good,8 cylinders,gas,68696,clean,other,4wd,pickup,black
34590,2016,chevrolet,good,6 cylinders,gas,29499,clean,other,4wd,pickup,silver
35000,2019,toyota,excellent,6 cylinders,gas,43000,clean,automatic,4wd,truck,grey
29990,2016,chevrolet,good,6 cylinders,gas,17302,clean,other,4wd,pickup,red
38590,2011,chevrolet,good,8 cylinders,gas,30237,clean,other,rwd,other,red
4500,1992,jeep,excellent,6 cylinders,gas,192000,clean,automatic,4wd,,
32990,2017,jeep,good,6 cylinders,gas,30041,clean,other,4wd,other,silver
24590,2017,chevrolet,good,6 cylinders,gas,40784,clean,other,,pickup,white
30990,2016,chevrolet,good,,other,34940,clean,other,4wd,pickup,blue
27990,2014,toyota,good,,other,17805,clean,other,,pickup,red
37990,2016,chevrolet,good,8 cylinders,gas,9704,clean,other,rwd,coupe,red
33590,2014,toyota,good,,other,55251,clean,other,,pickup,red
30990,2019,ford,good,,other,1834,clean,other,,pickup,black
27990,2018,nissan,good,6 cylinders,gas,37332,clean,other,4wd,pickup,silver
0,2011,jeep,excellent,,gas,99615,clean,automatic,,SUV,
34590,2018,ford,good,6 cylinders,gas,20856,clean,other,,pickup,white
30590,2016,toyota,good,,other,30176,clean,other,,pickup,red
32990,2020,jeep,good,,gas,20581,clean,other,4wd,SUV,silver
38990,2020,ford,good,6 cylinders,gas,12231,clean,other,,pickup,
22590,2017,ram,good,8 cylinders,gas,39508,clean,other,,pickup,white
31590,2020,mazda,good,,gas,2195,clean,other,rwd,other,
27990,2020,ford,good,,gas,10688,clean,other,,pickup,white
31590,2019,cadillac,good,,other,12102,clean,other,fwd,hatchback,black
19900,2004,ford,good,8 cylinders,diesel,88000,clean,automatic,4wd,pickup,blue
16590,2016,jeep,good,,gas,35835,clean,other,4wd,other,red
26990,2016,ford,good,6 cylinders,gas,14230,clean,other,,pickup,black
25590,2015,gmc,good,6 cylinders,other,35290,clean,other,,pickup,white
14000,2012,honda,excellent,6 cylinders,gas,95000,clean,automatic,fwd,mini-van,silver
28590,2018,ram,good,6 cylinders,other,30047,clean,other,,pickup,white
24590,2013,gmc,good,8 cylinders,other,80318,clean,other,,pickup,
25990,2019,ram,good,8 cylinders,gas,12302,clean,other,,pickup,white
